id_Social;any;data;hora;idEstructura;;;;;;;;
155;2021;18/02/2021;11:14;TossalFonta;;;;;;;;
156;2021;18/02/2021;11:36;Rabinat;;;;;;;;
157;2021;18/02/2021;NA;BelpreixanaMolars;;;;;;;;
158;2021;18/02/2021;12:17;Rabinat;;;;;;;;
159;2021;18/02/2021;13:14;PlaRoquis;;;;;;;;
160;2021;18/02/2021;14:22;MasMelValldelsPous;;;;;;;;
161;2021;18/02/2021;NA;ValldelsPous;;;;;;;;
162;2021;18/02/2021;14:48;Palmero;;;;;;;;
163;2021;18/02/2021;14:59;RocaGuilla;;;;;;;;
164;2021;23/02/2021;9:40;MasMelValldelsPous;;;;;;;;
165;2021;23/02/2021;9:57;ValldelsPous;;;;;;;;
166;2021;23/02/2021;10:12;ValldelsPous;;;;;;;;
167;2021;23/02/2021;11:23;PlaRoquis;;;;;;;;
168;2021;23/02/2021;11:35;Palmero;;;;;;;;
169;2021;23/02/2021;NA;MasMelZonaAstor;;;;;;;;
170;2021;23/02/2021;12:04;RocaGuilla;;;;;;;;
171;2021;23/02/2021;12:44;RocaGuilla;;;;;;;;
172;2021;23/02/2021;14:41;Ivars;;;;;;;;
173;2021;23/02/2021;14:53;Cantaperdius;;;;;;;;
174;2021;23/02/2021;15:14;StaBarbara;;;;;;;;
175;2021;23/02/2021;15:35;TossalRodo;;;;;;;;
176;2021;23/02/2021;16:10;Cadolles;;;;;;;;
177;2021;23/02/2021;16:16;Cadolles;;;;;;;;
178;2021;02/03/2021;8:47;Cadolles;;;;;;;;
179;2021;02/03/2021;9:45;TossalRodo;;;;;;;;
180;2021;02/03/2021;9:55;TossalRodo;;;;;;;;
181;2021;02/03/2021;10:12;OsBalaguer;;;;;;;;
182;2021;02/03/2021;10:32;Cantaperdius;;;;;;;;
183;2021;02/03/2021;10:43;StaBarbara;;;;;;;;
184;2021;02/03/2021;11:19;Ivars;;;;;;;;
185;2021;02/03/2021;12:30;RocaGuilla;;;;;;;;
186;2021;02/03/2021;13:10;bassa Astor;;;;;;;;
187;2021;02/03/2021;NA;bassa Astor;;;;;;;;
188;2021;02/03/2021;13:57;bassa Astor;;;;;;;;
189;2021;02/03/2021;14:09;Palmero;;;;;;;;
190;2021;02/03/2021;14:43;MasMelValldelsPous;;;;;;;;
191;2021;02/03/2021;14:54;ValldelsPous;;;;;;;;
192;2021;02/03/2021;15:16;PlaRoquis;;;;;;;;
193;2021;09/03/2021;9:00;Rabinat;;;;;;;;
194;2021;09/03/2021;10:15;TossalFonta;;;;;;;;
195;2021;09/03/2021;10:23;BelpreixanaCabanaCaçadors;;;;;;;;
196;2021;09/03/2021;NA;gravera Bellpuig;;;;;;;;
197;2021;09/03/2021;11:16;casa abandonada Montrepos;;;;;;;;
198;2021;09/03/2021;11:33;Montrepos;;;;;;;;
199;2021;09/03/2021;12:15;gravera Bellpuig;;;;;;;;
200;2021;09/03/2021;12:36;camí a Biscarri;;;;;;;;
201;2021;09/03/2021;13:30;Biscarri;;;;;;;;
202;2021;09/03/2021;15:03;Montrepos;;;;;;;;
203;2021;09/03/2021;15:30;BelpreixanaMontreposNW;;;;;;;;
204;2021;16/03/2021;9:20;MasMelValldelsPous;;;;;;;;
205;2021;16/03/2021;9:29;ValldelsPous;;;;;;;;
206;2021;16/03/2021;10:54;RocaGuilla;;;;;;;;
207;2021;16/03/2021;11:42;RocaGuilla;;;;;;;;
208;2021;16/03/2021;12:18;PlaRoquis;;;;;;;;
209;2021;16/03/2021;15:24;Astor;;;;;;;;
210;2021;16/03/2021;15:34;Palmero;;;;;;;;
211;2021;16/03/2021;16:00;RocaGuilla;;;;;;;;
212;2021;16/03/2021;17:00;Astor;;;;;;;;
213;2021;16/03/2021;17:27;Palmero;;;;;;;;
214;2021;23/03/2021;8:37;Cadolles;;;;;;;;
215;2021;23/03/2021;9:50;TossalRodo;;;;;;;;
216;2021;23/03/2021;10:28;OsBalaguer;;;;;;;;
217;2021;23/03/2021;NA;canyissar;;;;;;;;
218;2021;23/03/2021;11:00;Cantaperdius;;;;;;;;
219;2021;23/03/2021;11:15;StaBarbara;;;;;;;;
220;2021;23/03/2021;11:41;Ivars;;;;;;;;
221;2021;23/03/2021;13:16;gravera Bellpuig;;;;;;;;
222;2021;23/03/2021;NA;Montrepos;;;;;;;;
223;2021;23/03/2021;13:55;BelpreixanaMontreposNW;;;;;;;;
224;2021;23/03/2021;14:18;gravera Bellpuig;;;;;;;;
225;2021;23/03/2021;NA;Biscarri;;;;;;;;
226;2021;23/03/2021;15:22;BelpreixanaMontalba;;;;;;;;
227;2021;23/03/2021;15:34;BelpreixanaSocarrades;;;;;;;;
228;2021;23/03/2021;NA;casa abandonada TossalFonta;;;;;;;;
229;2021;23/03/2021;15:47;TossalFonta;;;;;;;;
230;2021;23/03/2021;16:09;Rabinat;;;;;;;;
231;2021;23/03/2021;16:44;BelpreixanaMolars;;;;;;;;
232;2021;23/03/2021;17:08;Rabinat;;;;;;;;
233;2021;23/03/2021;NA;BelpreixanaCabanaCaçadors;;;;;;;;
234;2021;23/03/2021;17:40;BelpreixanaSocarrades;;;;;;;;
235;2021;23/03/2021;17:51;BelpreixanaBarquera;;;;;;;;
236;2021;30/03/2021;10:15;MasMelValldelsPous;;;;;;;;
237;2021;30/03/2021;10:21;ValldelsPous;;;;;;;;
238;2021;30/03/2021;NA;ValldelsPous;;;;;;;;
239;2021;30/03/2021;NA;ValldelsPous;;;;;;;;
240;2021;30/03/2021;11:08;PlaRoquis;;;;;;;;
241;2021;30/03/2021;12:12;RocaGuilla;;;;;;;;
242;2021;30/03/2021;12:50;Palmero;;;;;;;;
243;2021;30/03/2021;NA;Astor;;;;;;;;
244;2021;30/03/2021;14:40;Biscarri;;;;;;;;
245;2021;30/03/2021;15:44;TossalFonta;;;;;;;;
246;2021;30/03/2021;NA;TossalFonta;;;;;;;;
247;2021;30/03/2021;16:00;Rabinat;;;;;;;;
248;2021;06/04/2021;8:46;Cadolles;;;;;;;;
249;2021;06/04/2021;9:50;TossalRodo;;;;;;;;
250;2021;06/04/2021;10:25;OsBalaguer;;;;;;;;
251;2021;06/04/2021;10:55;Cantaperdius;;;;;;;;
252;2021;06/04/2021;11:30;StaBarbara;;;;;;;;
253;2021;06/04/2021;11:50;Ivars;;;;;;;;
254;2021;06/04/2021;13:40;MasMelValldelsPous;;;;;;;;
255;2021;06/04/2021;NA;ValldelsPous;;;;;;;;
256;2021;06/04/2021;14:08;PlaRoquis;;;;;;;;
257;2021;06/04/2021;15:15;Palmero;;;;;;;;
258;2021;06/04/2021;15:40;RocaGuilla;;;;;;;;
259;2021;10/04/2021;10:49;MasMelValldelsPous;;;;;;;;
260;2021;10/04/2021;NA;ValldelsPous;;;;;;;;
261;2021;10/04/2021;11:40;PlaRoquis;;;;;;;;
262;2021;10/04/2021;12:20;MasMel12;;;;;;;;
263;2021;10/04/2021;13:09;Palmero;;;;;;;;
264;2021;10/04/2021;16:00;RocaGuilla;;;;;;;;
265;2021;10/04/2021;NA;RocaGuilla;;;;;;;;
266;2021;13/04/2021;8:50;casa abandonada gravera Montrepos;;;;;;;;
267;2021;13/04/2021;8:58;gravera Bellpuig;;;;;;;;
268;2021;13/04/2021;NA;casa abandonada gravera Montrepos;;;;;;;;
269;2021;13/04/2021;NA;casa abandonada Montrepos;;;;;;;;
270;2021;13/04/2021;NA;Montrepos;;;;;;;;
271;2021;13/04/2021;NA;BelpreixanaMontreposNW;;;;;;;;
272;2021;13/04/2021;10:54;Montrepos;;;;;;;;
273;2021;13/04/2021;11:23;Biscarri;;;;;;;;
274;2021;13/04/2021;13:10;BelpreixanaMontalba;;;;;;;;
275;2021;13/04/2021;NA;BelpreixanaSocarrades;;;;;;;;
276;2021;13/04/2021;NA;BelpreixanaCabanaCaçadors;;;;;;;;
277;2021;13/04/2021;NA;TossalFonta;;;;;;;;
278;2021;13/04/2021;NA;TossalFonta;;;;;;;;
279;2021;13/04/2021;NA;BelpreixanaMolars;;;;;;;;
280;2021;13/04/2021;NA;BelpreixanaDevesa;;;;;;;;
281;2021;13/04/2021;NA;BelpreixanaDevesa;;;;;;;;
282;2021;13/04/2021;15:10;BelpreixanaPedreres;;;;;;;;
283;2021;13/04/2021;15:30;BelpreixanaBarquera;;;;;;;;
284;2021;13/04/2021;NA;granja FondoStJulia;;;;;;;;
285;2021;13/04/2021;15:54;cabanes Biscarri;;;;;;;;
286;2021;13/04/2021;NA;Montrepos;;;;;;;;
287;2021;13/04/2021;NA;casa abandonada Montrepos;;;;;;;;
288;2021;13/04/2021;NA;Montrepos;;;;;;;;
289;2021;20/04/2021;9:16;MasMelValldelsPous;;;;;;;;
290;2021;20/04/2021;NA;ValldelsPous;;;;;;;;
291;2021;20/04/2021;10:13;Palmero;;;;;;;;
292;2021;20/04/2021;10:49;PlaRoquis;;;;;;;;
293;2021;20/04/2021;11:07;Astor;;;;;;;;
294;2021;20/04/2021;NA;granja Astor;;;;;;;;
295;2021;20/04/2021;NA;MasMelTimoneda;;;;;;;;
296;2021;20/04/2021;11:50;RocaGuilla;;;;;;;;
297;2021;20/04/2021;14:11;Biscarri;;;;;;;;
298;2021;20/04/2021;14:35;BelpreixanaSocarrades;;;;;;;;
299;2021;20/04/2021;NA;BelpreixanaCabanaCaçadors;;;;;;;;
300;2021;20/04/2021;14:52;TossalFonta;;;;;;;;
301;2021;22/04/2021;8:37;Cadolles;;;;;;;;
302;2021;22/04/2021;NA;TossalRodo;;;;;;;;
303;2021;22/04/2021;10:00;Cantaperdius;;;;;;;;
