ID_captures;metalica_esq;id_individu;id_uncertain;captura_recaptura;any_naixement;sexe;any;data;localitat;metode2;metode_captura;idEstructura;idCaixaNiu;idCaixa_old;edat_Euring;edat;pvc_d2;pvc_d;tag_esq;tag_esq_old;colorTag;tag_uncertainty;ala;ala_total;pp3;cua;becLlargada;becAlcada;tars;pes;alcada_ou;amplada_ou;volum_ou;crossfostering_dia;crossfostering_caixa;ploma;sang;gps;gps_old
5462;L007324;IND3833;certain;recaptura;2023;NA;2023;21/05/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_7;7;1;1_dia;PVC8LP;8LP;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10.00;NA;NA;NA;NA;NA;no;no;no;NA
5565;L007324;IND3833;certain;captura;2023;NA;2023;29/05/2023;Cadolles;captura_poll;CaixaNiu;Cadolles;CD_7;7;1;7_dies;PVC8LP;8LP;no;NA;NA;NA;36;NA;NA;NA;NA;NA;31.16;102.8;NA;NA;NA;NA;NA;no;no;no;NA
5640;L007324;IND3833;certain;recaptura;2023;NA;2023;05/06/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_7;7;1;14_dies;PVC8LP;8LP;no;NA;NA;NA;99.5;NA;NA;NA;NA;NA;45.07;185.3;NA;NA;NA;NA;NA;no;no;no;NA
5721;L007324;IND3833;certain;recaptura;2023;NA;2023;09/06/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_7;7;1;21_dies;PVC8LP;8LP;no;NA;NA;NA;147;NA;NA;NA;NA;NA;46.16;209.8;NA;NA;NA;NA;NA;si;no;NA;NA
5336;L007331;IND3834;uncertain;captura;2023;NA;2023;03/05/2023;Cadolles;captura_ou;CaixaNiu;Cadolles;CD_7;7;0;ou;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.67;34.89;25.06;11.01369278;08/05/2023;19;NA;NA;NA;NA
5417;L007331;IND3834;uncertain;recaptura;2023;NA;2023;08/05/2023;Cadolles;recaptura_ou;CaixaNiu;Cadolles;CD_19;19;0;ou;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.50;NA;NA;NA;NA;NA;NA;NA;NA;NA
5497;L007331;IND3834;certain;recaptura;2023;NA;2023;23/05/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_19;19;1;1_dia;PVC8M1;8M1;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.19;NA;NA;NA;NA;NA;no;no;no;NA
5569;L007331;IND3834;certain;captura;2023;NA;2023;29/05/2023;Cadolles;captura_poll;CaixaNiu;Cadolles;CD_19;19;1;7_dies;PVC8M1;8M1;no;NA;NA;NA;22.5;NA;NA;NA;NA;NA;22.08;58.72;NA;NA;NA;NA;NA;no;no;no;NA
5647;L007331;IND3834;certain;recaptura;2023;NA;2023;05/06/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_19;19;1;14_dies;PVC8M1;8M1;no;NA;NA;NA;76;NA;NA;NA;NA;NA;40.53;165.7;NA;NA;NA;NA;NA;no;no;no;NA
5728;L007331;IND3834;certain;recaptura;2023;NA;2023;09/06/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_19;19;1;21_dies;PVC8M1;8M1;no;NA;NA;NA;127.5;NA;NA;NA;NA;NA;44.19;213.3;NA;NA;NA;NA;NA;si;no;NA;NA
5330;L007328;IND3835;certain;captura;2023;NA;2023;02/05/2023;Cadolles;captura_ou;CaixaNiu;Cadolles;CD_19;19;0;ou;PVC8M4;8M4;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.34;33.38;25.03;10.51181931;NA;NA;NA;NA;NA;NA
5416;L007328;IND3835;certain;recaptura;2023;NA;2023;08/05/2023;Cadolles;recaptura_ou;CaixaNiu;Cadolles;CD_19;19;0;ou;PVC8M4;8M4;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.04;NA;NA;NA;NA;NA;NA;NA;NA;NA
5480;L007328;IND3835;certain;recaptura;2023;NA;2023;21/05/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_19;19;1;1_dia;PVC8M4;8M4;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.46;NA;NA;NA;NA;NA;no;no;no;NA
5570;L007328;IND3835;certain;captura;2023;NA;2023;29/05/2023;Cadolles;captura_poll;CaixaNiu;Cadolles;CD_19;19;1;7_dies;PVC8M4;8M4;no;NA;NA;NA;35;NA;NA;NA;NA;NA;31.33;100;NA;NA;NA;NA;NA;no;no;no;NA
5648;L007328;IND3835;certain;recaptura;2023;NA;2023;05/06/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_19;19;1;14_dies;PVC8M4;8M4;no;NA;NA;NA;97.5;NA;NA;NA;NA;NA;42.85;179.8;NA;NA;NA;NA;NA;no;no;no;NA
5725;L007328;IND3835;certain;recaptura;2023;NA;2023;09/06/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_19;19;1;21_dies;PVC8M4;8M4;no;NA;NA;NA;140;NA;NA;NA;NA;NA;45.07;211.1;NA;NA;NA;NA;NA;si;no;NA;NA
5375;L007329;IND3836;uncertain;captura;2023;NA;2023;06/05/2023;Cadolles;captura_ou;CaixaNiu;Cadolles;CD_19;19;0;ou;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.80;34.09;25.38;11.03773828;NA;NA;NA;NA;NA;NA
5420;L007329;IND3836;uncertain;recaptura;2023;NA;2023;08/05/2023;Cadolles;recaptura_ou;CaixaNiu;Cadolles;CD_19;19;0;ou;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.75;NA;NA;NA;NA;NA;NA;NA;NA;NA
5489;L007329;IND3836;certain;recaptura;2023;NA;2023;22/05/2023;Cadolles;recaptura_poll;CaixaNiu;Cadolles;CD_19;19;1;1_dia;PVC8LW;8LW;no;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.53;NA;NA;NA;NA;NA;no;no;no;NA
